Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email
ACSD-AZ.GOV,Independent Intrastate,Non-Federal Agency,Arizona City Sanitary District ,Arizona City,AZ,acsdinfo@azcitysewer.net
ACTRANSIT.GOV,Independent Intrastate,Non-Federal Agency,AC Transit,Oakland,CA,tjalali@actransit.org
ADAMSCOUNTYCOELECTIONS.GOV,Independent Intrastate,Non-Federal Agency,"Adams County Clerk & Recorder, Elections",Brighton,CO,barcher@adcogov.org
ARTRANSPARENCY.GOV,Independent Intrastate,Non-Federal Agency,Association of Arkansas Counties,Little Rock,AR,mharrell@arcounties.org
ARVADAFIRECO.GOV,Independent Intrastate,Non-Federal Agency,Arvada Fire Protection District,Arvada,CO,security@arvadafireco.gov
AZRANGERS.GOV,Independent Intrastate,Non-Federal Agency,Arizona Rangers,Mesa,AZ,webmaster@azrangers.us
BAAQMD.GOV,Independent Intrastate,Non-Federal Agency,Bay Area Air Quality Management District,San Francisco,CA,security@baaqmd.gov
BANNINGLIBRARYCA.GOV,Independent Intrastate,Non-Federal Agency,Banning Library District,Banning,CA,kevin@banninglibrarydistrict.org
BAYAREAMETRO.GOV,Independent Intrastate,Non-Federal Agency,Metropolitan Transportation Commission,San Francisco,CA,pkant@bayareametro.gov
BLOCKHOUSEMUDTX.GOV,Independent Intrastate,Non-Federal Agency,Block House Municipal Utility,Leander,TX,ltorres@crossroadsus.com
BOENYC.GOV,Independent Intrastate,Non-Federal Agency,The Board of Elections in the City of New York,New York,NY,nlesane@boe.nyc
BRIDGERCANYONFIREMT.GOV,Independent Intrastate,Non-Federal Agency,Bridger Canyon Fire Department,Bozeman,MT,tmather@bridgercanyonfiremt.gov
CAL-ITP.GOV,Independent Intrastate,Non-Federal Agency,Capitol Corridor Joint Powers Authority,Oakland,CA,info@capitolcorridor.org
CALIFORNIAINTEGRATEDTRAVEL.GOV,Independent Intrastate,Non-Federal Agency,Capitol Corridor Joint Powers Authority,Oakland,CA,info@capitolcorridor.org
CALIFORNIAPASS.GOV,Independent Intrastate,Non-Federal Agency,Capitol Corridor Joint Powers Authority,Oakland,CA,info@capitolcorridor.org
CALITP.GOV,Independent Intrastate,Non-Federal Agency,Capitol Corridor,Oakland,CA,info@capitolcorridor.org
CAMBRIDGERETIREMENTMA.GOV,Independent Intrastate,Non-Federal Agency,City of Cambridge Contributory Retirement System,Cambridge,MA,cburns@cambridgeretirementma.gov
CARROLLCOTNE911.GOV,Independent Intrastate,Non-Federal Agency,Carroll County Emergency Communications District,Huntingdon,TN,kristymeggs@carroll911.com
CASSCOROADMI.GOV,Independent Intrastate,Non-Federal Agency,Cass County Road Commission,Cassopolis,MI,rthompson@casscoroad.com
CATCHTEAMCA.GOV,Independent Intrastate,Non-Federal Agency,C.A.T.C.H.,San Diego,CA,websecurity@catchteam.org
CAZFIRE.GOV,Independent Intrastate,Non-Federal Agency,Central Arizona Fire and Medical Authority,Prescott Valley,AZ,soc@cazfire.org
CCUANJ.GOV,Independent Intrastate,Non-Federal Agency,Cumberland County Utilities Authority,Bridgeton,NJ,smick@ccua.info
CENTRECOUNTYVOTES.GOV,Independent Intrastate,Non-Federal Agency,Centre County Government ,Bellefonte,PA,infosec@centrecountypa.gov
CHAMPAIGNCOUNTYCLERKIL.GOV,Independent Intrastate,Non-Federal Agency,Champaign County Clerk,Urbana,IL,security@champaigncountyclerkIL.gov
CHSVOTES.GOV,Independent Intrastate,Non-Federal Agency,Charleston County Board of Elections & Voter Registration,North Charleston,SC,bevr@charlestoncounty.org
CIRCUITCLERKMARIONCOUNTYMS.GOV,Independent Intrastate,Non-Federal Agency,Marion County Circuit Clerk,Columbia,MS,circuitclerk@marioncountyms.com
COLLIERVOTES.GOV,Independent Intrastate,Non-Federal Agency,Collier County Supervisor of Elections,Naples,FL,itsoe@colliercountyfl.gov
COLORADOARTA.GOV,Independent Intrastate,Non-Federal Agency,Aerotropolis Regional Transportation Authority,Greenwood Village,CO,nathan.dow@claconnect.com
CONTRACOSTACR.GOV,Independent Intrastate,Non-Federal Agency,Contra Costa County Clerk-Recorder-Elections Department,Martinez,CA,electionsIT@vote.cccounty.us
CONTRACOSTACRE.GOV,Independent Intrastate,Non-Federal Agency,Contra Costa County Clerk-Recorder-Elections Department,Martinez,CA,electionsIT@vote.cccounty.us
CORTEZSANITATION.GOV,Independent Intrastate,Non-Federal Agency,Cortez Sanitation District,Cortez,CO,jan.nelson@cortezsanitation.com
COSUMNESCSD.GOV,Independent Intrastate,Non-Federal Agency,Cosumnes Community Services District,Elk Grove,CA,csdit@yourcsd.com
CRCA911CO.GOV,Independent Intrastate,Non-Federal Agency,Combined Regional Communications Authority,Canon City,CO,supervisors@frecom911.com
CUA911.GOV,Independent Intrastate,Non-Federal Agency,Charlottesville-UVA-Albemarle County Emergency Communications Center,Charlottesville,VA,eccsup@albemarle.org
DA4COLORADO.GOV,Independent Intrastate,Non-Federal Agency,4th Judicial District Attorney's Office,Colorado Springs,CO,rossietrujillo@elpasoco.com
DAKOTA911MN.GOV,Independent Intrastate,Non-Federal Agency,Dakota Communications Center,Rosemount,MN,tfolie@mn-dcc.org
DAYVILLEFIRE.GOV,Independent Intrastate,Non-Federal Agency,Dayville Fire District,Dayville,CT,jeff@jbuchbinder.com
DBBMN.GOV,Independent Intrastate,Non-Federal Agency,Dakota Broadband Board,Farmington,MN,jstassen@farmingtonmn.gov
DCPUDWA.GOV,Independent Intrastate,Non-Federal Agency,Public Utility District No. 1 of Douglas County,East Wenatchee,WA,helpis@dcpud.org
DENTONCOUNTYESD1.GOV,Independent Intrastate,Non-Federal Agency,Denton County Emergency Services District #1,Argyle,TX,support@argylefire.com
DETCOG.GOV,Independent Intrastate,Non-Federal Agency,Deep East Texas Council of Governments (DETCOG),Lufkin,TX,smunlin@detcog.gov
DUPAGERESULTS.GOV,Independent Intrastate,Non-Federal Agency,DuPage County Clerk,Wheaton,IL,ITsecurity@dupageco.org
ELBURNFIRE.GOV,Independent Intrastate,Non-Federal Agency,Elburn & Countryside Fire Protection District,Elburn,IL,info@ecfpd.com
ELECTIONSSHELBYTN.GOV,Independent Intrastate,Non-Federal Agency,Shelby County Election Commission,Memphis,TN,joe.young@shelbycountytn.gov
FAIRMOUNTFIRECO.GOV,Independent Intrastate,Non-Federal Agency,Fairmount Fire Protection District,Golden,CO,(blank)
FARDA.GOV,Independent Intrastate,Non-Federal Agency,FLORIDA ATLANTIC RESEARCH AND DEVELOPMENT AUTHORITY,Boca Raton,FL,jwales@research-park.org
FLAGLERMOSQUITO.GOV,Independent Intrastate,Non-Federal Agency,East Flagler Mosquito Control District,Palm Coast,FL,administration@flaglermosquito.com
FLAMINGGORGEFIREANDEMS.GOV,Independent Intrastate,Non-Federal Agency,Flaming Gorge Fire and EMS District,Manila,UT,(blank)
FLYLCPA.GOV,Independent Intrastate,Non-Federal Agency,Lee County Port Authority,Fort Myers,FM,security@flylcpa.com
FWPDA.GOV,Independent Intrastate,Non-Federal Agency,Fort Worden Life Long Learning Center Public Development Authority (FWPDA),Port Townsend,WA,itdepartment@fortworden.org
GCWCID1TX.GOV,Independent Intrastate,Non-Federal Agency,Galveston County WCID#1,Dickinson,TX,ilangford@wcid1.com
GLACIERVIEWFIRE.GOV,Independent Intrastate,Non-Federal Agency,Glacier View Fire Protection District,Livermore,CO,(blank)
HAMPTONROADS.GOV,Independent Intrastate,Non-Federal Agency,Hampton Roads Planning District Commission,Chesapeake,VA,serversecurity@insercorp.com
HARFORDVOTES.GOV,Independent Intrastate,Non-Federal Agency,Harford County Board of Elections,Forest Hill,MD,elections@harfordcountymd.gov
HENDRYELECTIONS.GOV,Independent Intrastate,Non-Federal Agency,Hendry County SOE,LaBelle,FL,supervisor@hendryelections.org
HRPDCVA.GOV,Independent Intrastate,Non-Federal Agency,Hampton Roads Planning District Commission,Chesapeake,VA,serversecurity@insercorp.com
HRTPOVA.GOV,Independent Intrastate,Non-Federal Agency,Hampton Roads Transportation Planning Organization,Chesapeake,VA,serversecurity@insercorp.com
HUDSONREGIONAL.GOV,Independent Intrastate,Non-Federal Agency,Hudson Regional Health Commission,Secaucus,NJ,itsquad@hudsonregional.gov
HVCOKSVOTE.GOV,Independent Intrastate,Non-Federal Agency,Harvey County Clerk,Newton,KS,lheim@harveycounty.com
HVHDCT.GOV,Independent Intrastate,Non-Federal Agency,Housatonic Valley Health District,Southbury,CT,it@hvhd.us
IL12THCOURT.GOV,Independent Intrastate,Non-Federal Agency,Illinois 12th Circuit Court,Joliet,IL,support@willcountyillinois.com
IREN.GOV,Independent Intrastate,Non-Federal Agency,Western Riverside Council of Governments,Riverside,CA,support@twintel.net
JCSAVA.GOV,Independent Intrastate,Non-Federal Agency,James City Service Authority,Williamsburg,VA,postmaster@jamescitycountyva.gov
JEMS-IL.GOV,Independent Intrastate,Non-Federal Agency,Northwest Central Joint Emergency Management System,Arlington Heights,IL,(blank)
KANSASVOTERINFO.GOV,Independent Intrastate,Non-Federal Agency,Kansas Secretary of State,Topeka,KS,kssos.support02@ks.gov
