Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email
AHIDTA.GOV,Interstate,Non-Federal Agency,Appalachia HIDTA,London,KY,security@ahidta.org
ALABAMASOILANDWATER.GOV,Interstate,Non-Federal Agency,Alabama Soil and Water Conservation Committee,Montgomery,AL,shelly.hyde@swcc.alabama.gov
CASSCLAYALERTS.GOV,Interstate,Non-Federal Agency,Red River Regional Dispatch Center,Fargo,ND,security@FargoND.GOV
DRBC.GOV,Interstate,Non-Federal Agency,Delaware River Basin Commission,West Trenton,NJ,(blank)
EMSCOMPACT.GOV,Interstate,Non-Federal Agency,Interstate Commission for EMS Personnel Practice,Mechanicsburg,PA,swessinger@nremt.org
FLWG.GOV,Interstate,Non-Federal Agency,"Civil Air Patrol, Florida Wing, Auxiliary Air Force ",Opa Locka,FL,(blank)
FMDIVERSION.GOV,Interstate,Non-Federal Agency,"State of ND, ITD",Bismarck,ND,itsecur@nd.gov
GCWATX.GOV,Interstate,Non-Federal Agency,Gulf Coast Water Authority,Texas City,TX,dbunch@gcwater.org
GULFCOASTWATERAUTHORITYTX.GOV,Interstate,Non-Federal Agency,Gulf Coast Water Authority,Texas City,TX,dbunch@gcwater.org
INFUSE-MN.GOV,Interstate,Non-Federal Agency,MMCAP INFUSE,Saint Paul,MN,nic@nic.state.mn.us
LRSA-NJ.GOV,Interstate,Non-Federal Agency,Linden Roselle Sewerage Authority,Linden,NJ,security@lrsa-nj.gov
MTC.GOV,Interstate,Non-Federal Agency,Multistate Tax Commission,Washington,DC,(blank)
NLC.GOV,Interstate,Non-Federal Agency,Interstate Commission of Nurse LicensureCompact Administrators,Chicago,IL,informationsecurityassurance@ncsbn.org
PACIFICFLYWAY.GOV,Interstate,Non-Federal Agency,Pacific Flyway Council,Vancouver,WA,(blank)
PANYNJ.GOV,Interstate,Non-Federal Agency,The Port Authority of New York and New Jersey,New York,NY,bwilson@panynj.gov
SPACEFLORIDA.GOV,Interstate,Non-Federal Agency,Space Florida,Cape Canaveral,FL,(blank)
SRBC.GOV,Interstate,Non-Federal Agency,Susquehanna River Basin Commission,Harrisburg,PA,msweitzer@srbc.net
TRPA.GOV,Interstate,Non-Federal Agency,Tahoe Regional Planning Agency,Stateline,NV,ckeillor@trpa.org
UCR.GOV,Interstate,Non-Federal Agency,Unified Carrier Registration Plan,Atlanta,GA,(blank)
WMATAOIG.GOV,Interstate,Non-Federal Agency,"Inspector General, Washington Metropolitan Area Transit Authority",Washington,DC,security@wmataoig.gov
WMATC.GOV,Interstate,Non-Federal Agency,Washington Metropolitan Area Transit Commission,Silver Spring,MD,MSAMAMA@WMATC.GOV
WMSC.GOV,Interstate,Non-Federal Agency,Metrorail Safety Commission,Washington,DC,(blank)
