Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email
29PALMSBOMI-NSN.GOV,Tribal,Non-Federal Agency,Twenty-Nine Palms Band of Mission Indians,Coachella,CA,(blank)
29PALMSGAMING-NSN.GOV,Tribal,Non-Federal Agency,Twenty-Nine Palms Band of Mission Indians,Coachella,CA,(blank)
ABSENTEESHAWNEETRIBE-NSN.GOV,Tribal,Non-Federal Agency,Absentee Shawnee Tribe of Indians of Oklahoma,Shawnee,OK,(blank)
AGUACALIENTE-NSN.GOV,Tribal,Non-Federal Agency,Agua Caliente Band of Cahuilla Indians,Palm Springs,CA,edarancette@aguacaliente.net
AHA-NSN.GOV,Tribal,Non-Federal Agency,Akwesasne Housing Authority,Hogansburg,NY,CRANSOM@AHA-NSN.GOV
AK-CHIN-NSN.GOV,Tribal,Non-Federal Agency,Ak-Chin Indian Community,Maricopa,AZ,JJONES@AK-CHIN.NSN.US
AKIAKIRA-NSN.GOV,Tribal,Non-Federal Agency,Akiak Native Community,Akiak,AK,shamer@akiaktechnology.com
ARCTICVILLAGE.GOV,Tribal,Non-Federal Agency,Arctic Village,Arctic Village,AK,bbluehorse@gmail.com
AUGUSTINETRIBE-NSN.GOV,Tribal,Non-Federal Agency,Augustine Band of Cahuilla Indians,Coachella,CA,(blank)
BADRIVER-NSN.GOV,Tribal,Non-Federal Agency,Bad River Band Of Lake Superior Tribe Of Chippewa Indians,Odanah,WI,(blank)
BARONA-NSN.GOV,Tribal,Non-Federal Agency,Barona Band of Mission Indians,Lakeside,CA,shazim@barona-nsn.gov
BIHASITKA-NSN.GOV,Tribal,Non-Federal Agency,Baranof Island Housing Authority,Sitka,AK,(blank)
BLUELAKERANCHERIA-NSN.GOV,Tribal,Non-Federal Agency,Blue Lake Rancheria,Blue Lake,CA,knorton@bluelakerancheria-nsn.gov
BOISFORTE-NSN.GOV,Tribal,Non-Federal Agency,Bois Forte Reservation Tribal Council,Nett Lake,MN,(blank)
BRB-NSN.GOV,Tribal,Non-Federal Agency,BEAR RIVER BAND OF THE ROHNERVILLE RANCHERIA,LOLETA,CA,(blank)
BURNSPAIUTE-NSN.GOV,Tribal,Non-Federal Agency,Burns Paiute Tribe,Burns,OR,(blank)
BVR-NSN.GOV,Tribal,Non-Federal Agency,Big Valley Rancheria,Lakeport,CA,noc@big-valley.net
CABAZONINDIANS-NSN.GOV,Tribal,Non-Federal Agency,Cabazon Band of Mission Indians,Indio,CA,(blank)
CAHTOTRIBE-NSN.GOV,Tribal,Non-Federal Agency,Catho Tribe,Laytonville,CA,(blank)
CAMPO-NSN.GOV,Tribal,Non-Federal Agency,Campo Kumeyaay Nation,Campo,CA,(blank)
CAYUGANATION-NSN.GOV,Tribal,Non-Federal Agency,Cayuga Nation,Seneca Falls ,NY,bjradford@gocayuga.com
CCTHITA-NSN.GOV,Tribal,Non-Federal Agency,Central Council Tlingit and Haida Indian Tribes of Alaska ,Juneau,AK,(blank)
CDATRIBE-NSN.GOV,Tribal,Non-Federal Agency,Coeur d' Alene Tribe,Plummer,ID,Domainregistration@cdatribe-nsn.gov
CHEHALIS-NSN.GOV,Tribal,Non-Federal Agency,Confederated Tribes of the Chehalis Reservation,Oakville,WA,webmaster@chehalistribe.org
CHEROKEE-NSN.GOV,Tribal,Non-Federal Agency,Cherokee Nation,Tahlequah,OK,jon-james@cherokee.org
CHEYENNEANDARAPAHO-NSN.GOV,Tribal,Non-Federal Agency,Cheyenne and Arapaho Tribes,Concho,OK,jrobertson@cheyenneandarapaho-nsn.gov
CHICKALOON-NSN.GOV,Tribal,Non-Federal Agency,Chickaloon Native Village,Chickaloon,AK,(blank)
CHICKASAW-GOVERNMENT-NSN.GOV,Tribal,Non-Federal Agency,the Chickasaw Nation,Ada,OK,tommiel.goad@chickasaw.net
CHICKASAW-NSN.GOV,Tribal,Non-Federal Agency,the Chickasaw Nation,Ada,OK,(blank)
CHICKASAWARTISANS-NSN.GOV,Tribal,Non-Federal Agency,the Chickasaw Nation,Ada,OK,(blank)
CHICKASAWGOVERNMENT-NSN.GOV,Tribal,Non-Federal Agency,the Chickasaw Nation,Ada,OK,(blank)
CHICKASAWJUDICIAL-NSN.GOV,Tribal,Non-Federal Agency,the Chickasaw Nation,Ada,OK,(blank)
CHICKASAWLEGISLATURE-NSN.GOV,Tribal,Non-Federal Agency,the Chickasaw Nation,Ada,OK,(blank)
CHICKASAWNATION-NSN.GOV,Tribal,Non-Federal Agency,the Chickasaw Nation,Ada,OK,(blank)
CHICKASAWTRIBE-NSN.GOV,Tribal,Non-Federal Agency,the Chickasaw Nation,Ada,OK,(blank)
CHILKAT-NSN.GOV,Tribal,Non-Federal Agency,Chilkat Indian Village Tribal Government,Haines,AK,(blank)
CHILKOOT-NSN.GOV,Tribal,Non-Federal Agency,Chilkoot Indian Association,Haines,AK,(blank)
CHIPPEWACREE-NSN.GOV,Tribal,Non-Federal Agency,Chippewa Cree Tribe,Box Elder,MT,(blank)
CHITIMACHA.GOV,Tribal,Non-Federal Agency,Chitimacha Tribe of Louisiana,Charenton,LA,(blank)
CHUKCHANSI-NSN.GOV,Tribal,Non-Federal Agency,Picayune Rancheria of the Chukchansi Indians,Fresno,CA,itadmin@chukchansi-nsn.gov
CIT-NSN.GOV,Tribal,Non-Federal Agency,Chemehuevi Indian Tribe,Havasu Lake,CA,(blank)
COLUSA-NSN.GOV,Tribal,Non-Federal Agency,Colusa Indian Community Council,Colusa,CA,(blank)
COMANCHENATIONPOLICE.GOV,Tribal,Non-Federal Agency,Comanche Nation Law Enforcement,Lawton,OK,it@ctg-us.com
COWCREEK-NSN.GOV,Tribal,Non-Federal Agency,Cow Creek Band of Umpqua Tribe of Indians,Roseburg,OR,(blank)
COYOTEVALLEY-NSN.GOV,Tribal,Non-Federal Agency,Coyote Valley Tribe,Redwood valley,CA,(blank)
CRHC-NSN.GOV,Tribal,Non-Federal Agency,Chico Rancheria Housing Corporation,Chico,CA,(blank)
CRIT-NSN.GOV,Tribal,Non-Federal Agency,Colorado River Indian Tribes,Parker,AZ,(blank)
CRITFC-NSN.GOV,Tribal,Non-Federal Agency,Columbia River Inter-Tribal Fish Commission,Portland,OR,(blank)
CROW-NSN.GOV,Tribal,Non-Federal Agency,Crow Nation Executive Branch,Crow Agency,MT,(blank)
CRST-NSN.GOV,Tribal,Non-Federal Agency,Cheyenne River Sioux Tribe,Eagle Butte,SD,(blank)
CSKT.GOV,Tribal,Non-Federal Agency,Confederated Salish and Kootenai Tribes,Pablo,MT,it.security@cskt.org
DELAWARENATION-NSN.GOV,Tribal,Non-Federal Agency,Delaware Nation,Anadarko,OK,administrator@delawarenation.com
